trajectory_index,seed,method,rank,dimension,lag,k,validation_vamp2,test_log_loss_bits_per_symbol,test_perplexity,minimum_block_surrogate_margin_bits,block_metrics_json
1,202,vamp,3,3,1,8,2.9821987684070472,0.4817497429117929,1.3964362786444853,5.2000000000000455,"{""16"": {""margin_bits"": 5.2000000000000455, ""surrogate_gain_bits"": [719.7430460687441, 718.7430460687441, 716.7430460687441, 713.7430460687443, 722.7430460687441, 718.7430460687441, 716.7430460687441, 716.7430460687441, 718.7430460687441, 716.7430460687441, 718.7430460687441, 716.7430460687441, 716.7430460687441, 716.7430460687441, 716.7430460687441, 718.7430460687441, 718.7430460687441, 716.7430460687441, 716.7430460687441, 714.7430460687441], ""surrogate_gain_bits_mean"": 717.5430460687443}, ""4"": {""margin_bits"": 7.35000000000025, ""surrogate_gain_bits"": [716.7430460687439, 716.7430460687441, 716.7430460687441, 710.7430460687441, 713.7430460687441, 716.7430460687441, 713.7430460687441, 716.7430460687441, 716.7430460687441, 716.7430460687441, 713.7430460687439, 713.7430460687441, 716.7430460687441, 716.7430460687441, 713.7430460687441, 713.7430460687441, 716.7430460687441, 713.7430460687441, 716.7430460687441, 716.7430460687441], ""surrogate_gain_bits_mean"": 715.3930460687441}}"
1,202,vamp,3,3,1,16,2.9821987684070472,0.7708327343665177,1.7062543621332302,4.249999999999886,"{""16"": {""margin_bits"": 4.249999999999886, ""surrogate_gain_bits"": [1006.2061002784634, 999.2061002784634, 1003.2061002784634, 997.2061002784634, 1000.2061002784634, 1003.2061002784636, 1000.2061002784639, 999.2061002784634, 999.2061002784634, 1000.2061002784634, 1006.2061002784634, 1003.2061002784634, 1003.2061002784636, 1003.2061002784634, 1006.2061002784636, 1001.2061002784634, 1003.2061002784634, 1000.2061002784636, 1003.2061002784636, 1001.2061002784634], ""surrogate_gain_bits_mean"": 1001.9561002784637}, ""4"": {""margin_bits"": 9.149999999999864, ""surrogate_gain_bits"": [997.2061002784634, 995.2061002784634, 1003.2061002784636, 993.2061002784636, 997.2061002784636, 1000.2061002784636, 993.2061002784634, 1000.2061002784634, 997.2061002784634, 994.2061002784634, 1000.2061002784634, 997.2061002784636, 997.2061002784636, 1003.2061002784636, 994.2061002784636, 993.2061002784636, 994.2061002784636, 993.2061002784634, 1000.2061002784636, 997.2061002784636], ""surrogate_gain_bits_mean"": 997.0561002784638}}"
1,202,tica,10,3,1,8,2.9821987684070765,0.4817497429117929,1.3964362786444853,5.2000000000000455,"{""16"": {""margin_bits"": 5.2000000000000455, ""surrogate_gain_bits"": [719.7430460687441, 718.7430460687441, 716.7430460687441, 713.7430460687443, 722.7430460687441, 718.7430460687441, 716.7430460687441, 716.7430460687441, 718.7430460687441, 716.7430460687441, 718.7430460687441, 716.7430460687441, 716.7430460687441, 716.7430460687441, 716.7430460687441, 718.7430460687441, 718.7430460687441, 716.7430460687441, 716.7430460687441, 714.7430460687441], ""surrogate_gain_bits_mean"": 717.5430460687443}, ""4"": {""margin_bits"": 7.35000000000025, ""surrogate_gain_bits"": [716.7430460687439, 716.7430460687441, 716.7430460687441, 710.7430460687441, 713.7430460687441, 716.7430460687441, 713.7430460687441, 716.7430460687441, 716.7430460687441, 716.7430460687441, 713.7430460687439, 713.7430460687441, 716.7430460687441, 716.7430460687441, 713.7430460687441, 713.7430460687441, 716.7430460687441, 713.7430460687441, 716.7430460687441, 716.7430460687441], ""surrogate_gain_bits_mean"": 715.3930460687441}}"
1,202,tica,10,3,1,16,2.9821987684070765,0.7732173663930887,1.7090769637142638,3.450000000000273,"{""16"": {""margin_bits"": 3.450000000000273, ""surrogate_gain_bits"": [1011.4863047976777, 1003.4863047976777, 1008.4863047976777, 1005.4863047976777, 1007.4863047976777, 1011.4863047976777, 1007.4863047976777, 1005.4863047976777, 1007.4863047976777, 1008.4863047976777, 1014.4863047976777, 1007.4863047976777, 1008.4863047976777, 1008.4863047976777, 1008.4863047976777, 1005.4863047976777, 1008.4863047976777, 1007.4863047976777, 1005.4863047976777, 1009.4863047976777], ""surrogate_gain_bits_mean"": 1008.0363047976774}, ""4"": {""margin_bits"": 7.350000000000023, ""surrogate_gain_bits"": [1002.4863047976777, 1002.4863047976777, 1005.4863047976777, 999.4863047976777, 1005.4863047976777, 1008.4863047976777, 1002.4863047976779, 1008.4863047976777, 1005.4863047976777, 1002.4863047976777, 1008.4863047976777, 1002.4863047976779, 1005.4863047976777, 1005.4863047976777, 1002.4863047976777, 1002.4863047976777, 999.4863047976777, 1002.4863047976777, 1008.4863047976779, 1002.4863047976777], ""surrogate_gain_bits_mean"": 1004.1363047976777}}"
1,202,pca_lift_kmeans,3,3,,8,,0.4230559354803151,1.3407645740537426,5.549999999999841,"{""16"": {""margin_bits"": 5.549999999999841, ""surrogate_gain_bits"": [705.8328999170329, 705.8328999170329, 713.8328999170329, 705.8328999170329, 713.8328999170329, 712.8328999170332, 706.8328999170329, 703.8328999170329, 713.8328999170329, 709.8328999170329, 706.8328999170329, 713.8328999170329, 706.8328999170329, 706.8328999170329, 706.8328999170329, 706.8328999170327, 705.8328999170329, 706.8328999170329, 706.8328999170329, 705.8328999170327], ""surrogate_gain_bits_mean"": 708.2828999170331}, ""4"": {""margin_bits"": 9.999999999999773, ""surrogate_gain_bits"": [703.8328999170329, 700.8328999170329, 703.8328999170329, 700.8328999170329, 709.8328999170332, 706.8328999170329, 700.8328999170332, 709.8328999170329, 700.8328999170329, 703.8328999170329, 709.8328999170329, 700.8328999170329, 706.8328999170329, 703.8328999170329, 700.8328999170329, 700.8328999170329, 700.8328999170329, 700.8328999170329, 706.8328999170329, 703.8328999170327], ""surrogate_gain_bits_mean"": 703.8328999170332}}"
1,202,pca_lift_kmeans,3,3,,16,,0.7272007688148286,1.6554239888001225,3.049999999999727,"{""16"": {""margin_bits"": 3.049999999999727, ""surrogate_gain_bits"": [1025.9530052443324, 1025.9530052443324, 1025.953005244332, 1025.9530052443324, 1025.953005244332, 1028.953005244332, 1025.953005244332, 1025.953005244332, 1025.953005244332, 1028.953005244332, 1028.953005244332, 1028.953005244332, 1028.9530052443324, 1025.9530052443324, 1027.953005244332, 1023.9530052443321, 1029.9530052443324, 1025.953005244332, 1025.953005244332, 1025.953005244332], ""surrogate_gain_bits_mean"": 1026.9030052443322}, ""4"": {""margin_bits"": 5.649999999999636, ""surrogate_gain_bits"": [1025.953005244332, 1022.9530052443318, 1022.9530052443321, 1019.9530052443318, 1028.953005244332, 1028.9530052443324, 1019.9530052443321, 1028.953005244332, 1022.9530052443321, 1022.9530052443321, 1031.953005244332, 1022.9530052443318, 1028.953005244332, 1022.9530052443321, 1019.9530052443318, 1019.9530052443325, 1022.9530052443323, 1019.9530052443321, 1028.953005244332, 1022.9530052443318], ""surrogate_gain_bits_mean"": 1024.3030052443323}}"
1,202,pca_lift_kmeans,10,10,,8,,0.4230559354803151,1.3407645740537426,5.549999999999841,"{""16"": {""margin_bits"": 5.549999999999841, ""surrogate_gain_bits"": [705.8328999170329, 705.8328999170329, 713.8328999170329, 705.8328999170329, 713.8328999170329, 712.8328999170332, 706.8328999170329, 703.8328999170329, 713.8328999170329, 709.8328999170329, 706.8328999170329, 713.8328999170329, 706.8328999170329, 706.8328999170329, 706.8328999170329, 706.8328999170327, 705.8328999170329, 706.8328999170329, 706.8328999170329, 705.8328999170327], ""surrogate_gain_bits_mean"": 708.2828999170331}, ""4"": {""margin_bits"": 9.999999999999773, ""surrogate_gain_bits"": [703.8328999170329, 700.8328999170329, 703.8328999170329, 700.8328999170329, 709.8328999170332, 706.8328999170329, 700.8328999170332, 709.8328999170329, 700.8328999170329, 703.8328999170329, 709.8328999170329, 700.8328999170329, 706.8328999170329, 703.8328999170329, 700.8328999170329, 700.8328999170329, 700.8328999170329, 700.8328999170329, 706.8328999170329, 703.8328999170327], ""surrogate_gain_bits_mean"": 703.8328999170332}}"
1,202,pca_lift_kmeans,10,10,,16,,0.7272007688148286,1.6554239888001225,3.049999999999727,"{""16"": {""margin_bits"": 3.049999999999727, ""surrogate_gain_bits"": [1025.9530052443324, 1025.9530052443324, 1025.953005244332, 1025.9530052443324, 1025.953005244332, 1028.953005244332, 1025.953005244332, 1025.953005244332, 1025.953005244332, 1028.953005244332, 1028.953005244332, 1028.953005244332, 1028.9530052443324, 1025.9530052443324, 1027.953005244332, 1023.9530052443321, 1029.9530052443324, 1025.953005244332, 1025.953005244332, 1025.953005244332], ""surrogate_gain_bits_mean"": 1026.9030052443322}, ""4"": {""margin_bits"": 5.649999999999636, ""surrogate_gain_bits"": [1025.953005244332, 1022.9530052443318, 1022.9530052443321, 1019.9530052443318, 1028.953005244332, 1028.9530052443324, 1019.9530052443321, 1028.953005244332, 1022.9530052443321, 1022.9530052443321, 1031.953005244332, 1022.9530052443318, 1028.953005244332, 1022.9530052443321, 1019.9530052443318, 1019.9530052443325, 1022.9530052443323, 1019.9530052443321, 1028.953005244332, 1022.9530052443318], ""surrogate_gain_bits_mean"": 1024.3030052443323}}"
1,202,direct_xyz_kmeans,,3,,8,,0.44810968881162894,1.3642515556513022,5.350000000000136,"{""16"": {""margin_bits"": 5.350000000000136, ""surrogate_gain_bits"": [707.547441946149, 699.547441946149, 707.5474419461488, 711.5474419461488, 711.5474419461488, 701.547441946149, 707.5474419461488, 707.5474419461488, 707.5474419461488, 704.547441946149, 701.5474419461488, 711.5474419461488, 707.547441946149, 711.5474419461488, 707.547441946149, 701.5474419461488, 701.547441946149, 707.547441946149, 707.5474419461488, 699.5474419461488], ""surrogate_gain_bits_mean"": 706.1974419461488}, ""4"": {""margin_bits"": 10.900000000000091, ""surrogate_gain_bits"": [698.5474419461488, 701.547441946149, 707.5474419461488, 698.547441946149, 701.547441946149, 701.547441946149, 698.547441946149, 704.5474419461488, 698.5474419461488, 698.547441946149, 701.547441946149, 698.5474419461488, 701.5474419461488, 707.5474419461488, 698.5474419461488, 698.547441946149, 698.547441946149, 698.547441946149, 701.5474419461488, 698.5474419461488], ""surrogate_gain_bits_mean"": 700.6474419461489}}"
1,202,direct_xyz_kmeans,,3,,16,,0.7272007688148286,1.6554239888001225,3.049999999999727,"{""16"": {""margin_bits"": 3.049999999999727, ""surrogate_gain_bits"": [1025.9530052443324, 1025.9530052443324, 1025.953005244332, 1025.9530052443324, 1025.953005244332, 1028.953005244332, 1025.953005244332, 1025.953005244332, 1025.953005244332, 1028.953005244332, 1028.953005244332, 1028.953005244332, 1028.9530052443324, 1025.9530052443324, 1027.953005244332, 1023.9530052443321, 1029.9530052443324, 1025.953005244332, 1025.953005244332, 1025.953005244332], ""surrogate_gain_bits_mean"": 1026.9030052443322}, ""4"": {""margin_bits"": 5.649999999999636, ""surrogate_gain_bits"": [1025.953005244332, 1022.9530052443318, 1022.9530052443321, 1019.9530052443318, 1028.953005244332, 1028.9530052443324, 1019.9530052443321, 1028.953005244332, 1022.9530052443321, 1022.9530052443321, 1031.953005244332, 1022.9530052443318, 1028.953005244332, 1022.9530052443321, 1019.9530052443318, 1019.9530052443325, 1022.9530052443323, 1019.9530052443321, 1028.953005244332, 1022.9530052443318], ""surrogate_gain_bits_mean"": 1024.3030052443323}}"
