momentum,amplitude_contraction_floor,covariance_contraction_floor,minimum_horizon
0.53,0.7280109889280518,0.53,5
0.535,0.7314369419163897,0.5350000000000001,5
0.54,0.7348469228349535,0.54,5
0.545,0.73824115301167,0.545,5
0.55,0.7416198487095663,0.55,5
0.555,0.744983221287567,0.555,5
0.56,0.7483314773547883,0.56,5
0.5650000000000001,0.7516648189186454,0.5650000000000001,5
0.5700000000000001,0.754983443527075,0.5700000000000001,5
0.5750000000000001,0.7582875444051551,0.5750000000000001,6
0.5800000000000001,0.7615773105863909,0.5800000000000001,6
0.5850000000000001,0.7648529270389178,0.5850000000000002,6
0.59,0.7681145747868608,0.5900000000000001,6
0.595,0.7713624310270756,0.595,6
0.6,0.7745966692414834,0.6000000000000001,6
0.605,0.7778174593052023,0.605,6
0.61,0.7810249675906654,0.61,6
0.615,0.7842193570679061,0.6150000000000001,6
0.62,0.7874007874011811,0.6200000000000001,6
0.625,0.7905694150420949,0.6250000000000001,6
0.63,0.7937253933193772,0.63,7
0.635,0.7968688725254613,0.635,7
0.64,0.8,0.6400000000000001,7
0.645,0.8031189202104505,0.645,7
0.65,0.806225774829855,0.6500000000000001,7
0.655,0.8093207028119322,0.6549999999999999,7
0.66,0.812403840463596,0.66,7
0.665,0.8154753215150046,0.665,7
0.67,0.8185352771872451,0.6700000000000002,7
0.675,0.8215838362577492,0.675,8
0.68,0.8246211251235321,0.68,8
0.685,0.8276472678623424,0.685,8
0.6900000000000001,0.8306623862918076,0.6900000000000001,8
0.6950000000000001,0.8336666000266534,0.6950000000000001,8
0.7000000000000001,0.8366600265340756,0.7000000000000001,8
0.7050000000000001,0.8396427811873333,0.705,8
0.7100000000000001,0.8426149773176359,0.7100000000000001,9
0.715,0.8455767262643882,0.7150000000000001,9
0.72,0.848528137423857,0.72,9
0.725,0.85146931829632,0.7249999999999999,9
0.73,0.8544003745317531,0.73,9
0.735,0.8573214099741123,0.735,10
0.74,0.8602325267042626,0.74,10
0.745,0.8631338250816034,0.745,10
0.75,0.8660254037844386,0.7499999999999999,10
0.755,0.8689073598491384,0.755,10
0.76,0.8717797887081347,0.7599999999999999,11
0.765,0.8746427842267951,0.765,11
0.77,0.8774964387392122,0.77,11
0.775,0.8803408430829505,0.775,11
0.78,0.8831760866327847,0.78,12
0.785,0.8860022573334675,0.7849999999999999,12
0.79,0.8888194417315589,0.79,12
0.795,0.8916277250063505,0.7950000000000002,13
0.8,0.8944271909999159,0.7999999999999999,13
0.805,0.897217922246318,0.8049999999999999,13
0.81,0.9,0.81,14
0.8150000000000001,0.9027735042633894,0.8150000000000001,14
0.8200000000000001,0.9055385138137417,0.8200000000000002,14
0.8250000000000001,0.9082951062292476,0.8250000000000002,15
0.8300000000000001,0.9110433579144299,0.8300000000000001,15
0.8350000000000001,0.9137833441248533,0.8350000000000001,16
0.8400000000000001,0.9165151389911681,0.8400000000000002,16
0.845,0.9192388155425117,0.845,17
0.85,0.9219544457292888,0.8500000000000001,18
0.855,0.9246621004453465,0.855,18
0.86,0.9273618495495703,0.86,19
0.865,0.9300537618869137,0.865,20
0.87,0.9327379053088815,0.8699999999999999,20
0.875,0.9354143466934853,0.875,21
0.88,0.938083151964686,0.8800000000000001,22
0.885,0.9407443861113389,0.8849999999999999,23
0.89,0.9433981132056604,0.89,24
0.895,0.9460443964212251,0.895,25
0.9,0.9486832980505138,0.8999999999999999,27
0.905,0.9513148795220224,0.905,28
0.91,0.9539392014169457,0.91,30
0.915,0.9565563234854496,0.9150000000000001,32
0.92,0.9591663046625439,0.92,34
0.925,0.9617692030835673,0.925,36
0.93,0.9643650760992956,0.9300000000000002,39
0.935,0.9669539802906858,0.9349999999999999,42
0.9400000000000001,0.9695359714832659,0.9400000000000002,45
0.9450000000000001,0.972111104761179,0.945,50
0.9500000000000001,0.9746794344808964,0.9500000000000001,55
0.9550000000000001,0.9772410142846032,0.9550000000000001,61
0.9600000000000001,0.9797958971132713,0.9600000000000002,68
0.9650000000000001,0.9823441352194251,0.9650000000000002,78
0.97,0.9848857801796105,0.97,92
0.975,0.9874208829065749,0.975,110
0.98,0.9899494936611666,0.9800000000000001,138
0.985,0.9924716620639604,0.9850000000000001,184
0.99,0.99498743710662,0.99,276
