future_step,true_curvature,predicted_center,predicted_lower,predicted_upper,true_edge_utilization,center_edge_utilization,upper_edge_utilization
19,12.520086008856733,12.48427396697836,11.06329627763273,14.38565278730807,1.0085624840467922,1.005677625117701,1.1588442523109277
20,12.535139532977984,12.502957601917744,11.016818293805253,14.509143253060612,1.0097751290454486,1.0071826957100405,1.168792095385438
21,12.548359537861266,12.519623906317042,10.970340309977775,14.632633718813155,1.0108400738832686,1.0085252591199838,1.1787399384599484
22,12.559969346149764,12.534490697668469,10.923862326150298,14.756124184565698,1.011775308439842,1.0097228617566265,1.188687781534459
23,12.570165079788723,12.547752275027884,10.87738434232282,14.87961465031824,1.0125966314274248,1.0107911554883573,1.198635624608969
24,12.579118973070457,12.559581958373974,10.830906358495342,15.003105116070783,1.01331791727512,1.0117441022023477,1.2085834676834797
25,12.586982282150476,12.57013435378487,10.784428374667865,15.126595581823326,1.013951350506566,1.0125941562771144,1.2185313107579898
26,12.593887840184548,12.579547374036567,10.737950390840387,15.250086047575868,1.0145076315704218,1.0133524273529455,1.2284791538325004
27,12.59995230125007,12.587944041031,10.69147240701291,15.37357651332841,1.0149961576007,1.0140288255274972,1.238426996907011
28,12.605278110957812,12.595434093610315,10.644994423185432,15.497066979080953,1.0154251811604904,1.0146321908741642,1.248374839981521
29,12.60995523704315,12.60211542177042,10.598516439357955,15.620557444833496,1.0158019496506983,1.0151704089759503,1.2583226830560317
30,12.614062689171295,12.608075346017987,10.552038455530477,15.744047910586039,1.0161328277387986,1.0156505139847822,1.2682705261305418
31,12.617669853630233,12.613391758591288,10.505560471703,15.867538376338581,1.0164234048757688,1.016078780553187,1.2782183692050524
32,12.62083766545807,12.618134141459842,10.459082487875522,15.991028842091124,1.0166785897174555,1.0164608058398206,1.2881662122795627
33,12.623619637805279,12.622364474407462,10.412604504048044,16.114519307843665,1.016902693045425,1.016801582660601,1.298114055354073
34,12.626062765920596,12.62613804506671,10.366126520220567,16.238009773596204,1.0170995005880479,1.0171055647414848,1.308061898428583
35,12.628208321031467,12.629504171491432,10.319648536393089,16.361500239348743,1.0172723369719792,1.0173767249256986,1.318009741503093
36,12.630092547529834,12.632506846710838,10.273170552565611,16.484990705101282,1.0174241218843476,1.0176186070961508,1.3279575845776033
37,12.6317472752407,12.63518531368909,10.226692568738134,16.60848117085382,1.0175574193943897,1.017834372491621,1.3379054276521132
38,12.633200457116384,12.637574578204687,10.180214584910656,16.73197163660636,1.0176744812677085,1.018026841022044,1.3478532707266233
39,12.63447664143961,12.63970586635266,10.133736601083179,16.8554621023589,1.0177772850048574,1.0181985281228532,1.3578011138011334
40,12.635597386512266,12.641607032648832,10.087258617255701,16.97895256811144,1.0178675672468214,1.0183516776300447,1.3677489568756436
41,12.636581624835072,12.643302924069772,10.040780633428223,17.102443033863977,1.017946853111714,1.0184882911056203,1.3776967999501537
42,12.637445982930162,12.644815704786225,9.994302649600746,17.225933499616517,1.0180164819582629,1.018610153996668,1.3876446430246636
43,12.638205062209268,12.64616514583405,9.947824665773268,17.349423965369056,1.0180776300113021,1.0187188589699652,1.3975924860991737
44,12.63887168563218,12.647368883508488,9.90134668194579,17.472914431121595,1.018131330231481,1.0188158267270726,1.4075403291736839
45,12.639457114322182,12.648442649858781,9.854868698118313,17.596404896874134,1.0181784897648423,1.0189023245719573,1.417488172248194
46,12.639971237797742,12.64940047829558,9.808390714290836,17.719895362626673,1.0182199052670402,1.0189794829738104,1.427436015322704
47,12.640422741033976,12.650254886998264,9.761912730463358,17.843385828379212,1.0182562763610703,1.0190483103415267,1.4373838583972143
48,12.640819251176039,12.651017042519207,9.71543474663588,17.96687629413175,1.0182882174558474,1.019109706202936,1.4473317014717242
49,12.641167466382798,12.651696905723174,9.668956762808403,18.09036675988429,1.0183162681252809,1.0191644729610334,1.4572795445462345
50,12.641473268977375,12.652303361969187,9.622478778980925,18.21385722563683,1.0183409022231773,1.0192133263808512,1.4672273876207444
51,12.64174182481593,12.652844337236242,9.576000795153448,18.33734769138937,1.0183625358879498,1.0192569049440305,1.4771752306952544
