method,seed,embedding_dim,microstates,lag,backend,trajectory_sha256,intrinsic_participation_ratio,intrinsic_suggested_dimension,symbol_count,unique_symbols,rules_learned,categories_learned,exact_reconstruction,score_total_proxy_units,real_gain_bits_proxy,surrogate_gain_bits_proxy_mean,real_minus_shuffled_bits_proxy,heldout_log_loss_bits_per_symbol,heldout_perplexity,heldout_evaluated_symbols,fit_wall_time_seconds,configuration_wall_time_seconds,singular_values,timescales,cumulative_kinetic_variance,numerical_warnings
deeptime_vamp_kmeans,101,5,24,1,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,24,2,0,True,187.8,671.5436528553973,667.5436528553973,4.0,4.334735941180606,20.178344928000786,58,0.054695375030860305,0.559649322880432,"[1.0000000000000089, 0.9999999999999762, 0.9999646317546044, 0.9999391217178527, 0.9993602314122815]","[-112589990684262.9, 42089716143649.0, 28273.449943226755, 16425.719078779086, 1562.5651224164103]","[0.020142175543648087, 0.040284351087294855, 0.06042510186932384, 0.08056482504553018, 0.10068123617104555]",[]
deeptime_vamp_kmeans,101,5,24,3,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,24,2,0,True,186.8,673.1798609862799,668.17986098628,4.999999999999886,4.431133178211044,21.572675034847084,58,0.052150939125567675,0.6920504430308938,"[1.0000000000116833, 1.0000000000025675, 1.0000000000000389, 1.0000000000000002, 0.9999999999952158]","[-256776305798.324, -1168450997330.1768, -77204565040638.58, -1.351079888211149e+16, 627067617287.625]","[0.02016816384395664, 0.04033632768754558, 0.06050449153103253, 0.08067265537451791, 0.10084081921781032]",[]
direct_raw_kmeans,101,,16,,sklearn,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,16,1,0,True,178.1,581.5721819007249,568.8721819007249,12.700000000000045,1.8736290561943192,3.6645322379668084,58,0.13719754992052913,0.3749657159205526,[],[],[],[]
raw_compound_m1,101,,,,dependency_free,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,164,2,0,True,191.8,1202.4737001211518,1202.2737001211522,0.19999999999959073,8.128512808965853,279.85055699796277,58,0.016215665033087134,0.07179841701872647,[],[],[],[]
pure_reference,101,3,16,1,dependency_free,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,191,16,2,0,True,170.8,566.3673566569228,549.3673566569227,17.000000000000114,1.99647959585389,3.9902512662304317,58,0.15492364997044206,8.580793990986422,"[1.0, 1.0, 1.0]",[],[],[]
deeptime_vamp_kmeans,202,3,8,1,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,8,2,0,True,163.8,370.3539073453048,356.8539073453048,13.5,2.5813376222261293,5.984943477384771,58,0.07308491482399404,0.7343096870463341,"[1.0000000000074716, 1.0000000000015052, 0.9999999999999978]","[-133840519105.68875, -664345718745.2258, 450359962737049.1]","[0.02000290673882827, 0.04000581347741785, 0.06000872021594712]",[]
deeptime_vamp_kmeans,202,3,8,3,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,8,2,0,True,167.8,388.92254343074916,373.4225434307492,15.499999999999943,1.7353395207787727,3.3295784225465734,58,0.10174716892652214,1.3783124040346593,"[1.0000000000000702, 1.0000000000000042, 0.9999999999980119]","[-42755692664911.27, -711094678005869.2, 1508996356966.3325]","[0.01997847652735042, 0.03995695305469821, 0.05993542958196639]",[]
deeptime_vamp_kmeans,202,3,16,1,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,16,2,0,True,179.8,542.3311577934214,533.8311577934212,8.500000000000227,3.608698612680761,12.199064504867431,58,0.08192275697365403,1.0077107821125537,"[1.0000000000074716, 1.0000000000015052, 0.9999999999999978]","[-133840519105.68875, -664345718745.2258, 450359962737049.1]","[0.02000290673882827, 0.04000581347741785, 0.06000872021594712]",[]
deeptime_vamp_kmeans,202,3,16,3,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,16,2,0,True,180.8,561.3350251942363,553.3350251942367,7.999999999999659,3.1316146222686863,8.764152707830913,58,0.08925311709754169,0.7191628471482545,"[1.0000000000000702, 1.0000000000000042, 0.9999999999980119]","[-42755692664911.27, -711094678005869.2, 1508996356966.3325]","[0.01997847652735042, 0.03995695305469821, 0.05993542958196639]",[]
deeptime_vamp_kmeans,202,3,24,1,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,24,2,0,True,186.8,641.3655238488559,637.3655238488559,4.0,4.3879410678164215,20.93639390182277,58,0.04882795107550919,0.4908093421254307,"[1.0000000000074716, 1.0000000000015052, 0.9999999999999978]","[-133840519105.68875, -664345718745.2258, 450359962737049.1]","[0.02000290673882827, 0.04000581347741785, 0.06000872021594712]",[]
deeptime_vamp_kmeans,202,3,24,3,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,24,2,0,True,184.8,664.7000571569902,660.20005715699,4.500000000000114,4.002736102644536,16.030373141900082,58,0.07032591290771961,1.5629234709776938,"[1.0000000000000702, 1.0000000000000042, 0.9999999999980119]","[-42755692664911.27, -711094678005869.2, 1508996356966.3325]","[0.01997847652735042, 0.03995695305469821, 0.05993542958196639]",[]
deeptime_vamp_kmeans,202,5,8,1,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,8,2,0,True,175.8,383.2537074955596,376.7537074955595,6.500000000000057,2.16279259133812,4.477807757520713,58,0.09880973701365292,0.7155286739580333,"[1.0000000000074716, 1.0000000000015052, 0.9999999999999978, 0.9999999999999213, 0.9999904194952874]","[-133840519105.68875, -664345718745.2258, 450359962737049.1, 12704089216841.521, 104378.13452867008]","[0.02000290673882827, 0.04000581347741785, 0.06000872021594712, 0.08001162695447335, 0.10001415041895415]",[]
deeptime_vamp_kmeans,202,5,8,3,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,8,2,0,True,160.8,393.78886176514555,372.78886176514555,21.0,1.8968007023321627,3.7238648193574737,58,0.08459418010897934,0.9412288928870112,"[1.0000000000000702, 1.0000000000000042, 0.9999999999980119, 0.9999999999789896, 0.9998340388806872]","[-42755692664911.27, -711094678005869.2, 1508996356966.3325, 142786323358.28745, 18075.023016573457]","[0.01997847652735042, 0.03995695305469821, 0.05993542958196639, 0.0799139061084745, 0.09988575188543786]",[]
deeptime_vamp_kmeans,202,5,16,1,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,16,2,0,True,182.8,556.0126835519529,551.0126835519529,5.0,3.510903236057443,11.399536301794509,58,0.10425473400391638,0.6952843519393355,"[1.0000000000074716, 1.0000000000015052, 0.9999999999999978, 0.9999999999999213, 0.9999904194952874]","[-133840519105.68875, -664345718745.2258, 450359962737049.1, 12704089216841.521, 104378.13452867008]","[0.02000290673882827, 0.04000581347741785, 0.06000872021594712, 0.08001162695447335, 0.10001415041895415]",[]
deeptime_vamp_kmeans,202,5,16,3,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,16,2,0,True,184.8,568.140574091432,563.140574091432,5.0,3.6800165479044358,12.817265056329598,58,0.09248972381465137,0.5684295459650457,"[1.0000000000000702, 1.0000000000000042, 0.9999999999980119, 0.9999999999789896, 0.9998340388806872]","[-42755692664911.27, -711094678005869.2, 1508996356966.3325, 142786323358.28745, 18075.023016573457]","[0.01997847652735042, 0.03995695305469821, 0.05993542958196639, 0.0799139061084745, 0.09988575188543786]",[]
deeptime_vamp_kmeans,202,5,24,1,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,24,2,0,True,183.8,662.9662553802618,654.9162553802621,8.049999999999727,4.018611926866506,16.207750064287332,58,0.06001964118331671,0.5306529889348894,"[1.0000000000074716, 1.0000000000015052, 0.9999999999999978, 0.9999999999999213, 0.9999904194952874]","[-133840519105.68875, -664345718745.2258, 450359962737049.1, 12704089216841.521, 104378.13452867008]","[0.02000290673882827, 0.04000581347741785, 0.06000872021594712, 0.08001162695447335, 0.10001415041895415]",[]
deeptime_vamp_kmeans,202,5,24,3,deeptime,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,24,2,0,True,185.8,670.427146418466,664.4271464184659,6.000000000000114,4.255647739546047,19.101946333199344,58,0.060442209942266345,0.571076761931181,"[1.0000000000000702, 1.0000000000000042, 0.9999999999980119, 0.9999999999789896, 0.9998340388806872]","[-42755692664911.27, -711094678005869.2, 1508996356966.3325, 142786323358.28745, 18075.023016573457]","[0.01997847652735042, 0.03995695305469821, 0.05993542958196639, 0.0799139061084745, 0.09988575188543786]",[]
direct_raw_kmeans,202,,16,,sklearn,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,16,1,0,True,178.1,584.2104714379915,572.5104714379916,11.699999999999932,1.884671688176748,3.6926888079552262,58,0.14408725104294717,0.3771261088550091,[],[],[],[]
raw_compound_m1,202,,,,dependency_free,22e3ae01251fca0d6c76c74cbce3db705ec30893e66cf38deee49da53007238a,3.6444497350844767,137,192,150,2,0,True,188.8,1175.2090376146614,1172.0090376146618,3.1999999999995907,7.833106703620873,228.03424764420498,58,0.02586715598590672,0.09363719611428678,[],[],[],[]
